genus,species,MUSEUM,Museum Rego No,SVL (cm),Tail length (cm),tail width (max),head length (mm),head width (mm),body width (cm),eye diam. (mm),Sex,Adult?
Aipysurus,laevis,AUST MUSEUM,R.21451,405,66,24,26.3,15.5,22,3.5,f,j
Aipysurus,laevis,AUST MUSEUM,R.33353,430,65,20,25.4,16.3,20,3,f,j
Aipysurus,laevis,AUST MUSEUM,R.30347,475,90,21,23.7,15.2,22,3.5,f,j
Aipysurus,laevis,AUST MUSEUM,R.44612,535,87,24,32.6,24.8,28,3.5,f,j
Aipysurus,laevis,AUST MUSEUM,R.41034,590,112,28,28.8,16.2,25,3.9,f,j
Aipysurus,laevis,AUST MUSEUM,R.44898,680,100,26,30.4,19.4,24,4,f,j
Aipysurus,laevis,AUST MUSEUM,R.44860,710,116,29,40,20.5,30,4.5,f,j
Aipysurus,laevis,AUST MUSEUM,R.41006,715,120,27,30.5,19.9,28,5.1,f,j
Aipysurus,laevis,AUST MUSEUM,R.44627,730,100,27,43.9,31.2,27,4,f,j
Aipysurus,laevis,AUST MUSEUM,R.45055,785,135,36,47.5,30,41,3.9,f,a
Aipysurus,laevis,AUST MUSEUM,R.44643,800,113,27,42.6,28,36,4.7,f,a
Aipysurus,laevis,AUST MUSEUM,R.42699,820,132,35,47.5,36.6,45,5.5,f,a
Aipysurus,laevis,AUST MUSEUM,R.44452,860,130,32,44.2,31.5,40,5.3,f,a
Aipysurus,laevis,AUST MUSEUM,R.44596,860,150,37,51.5,35.5,35,5,f,a
Aipysurus,laevis,AUST MUSEUM,R.41530,870,120,36,46.3,44.8,47,5.8,f,a
Aipysurus,laevis,AUST MUSEUM,R.44606,880,128,27,45.8,30.3,35,5.9,f,a
Aipysurus,laevis,AUST MUSEUM,R.7183,910,160,38,52,44,55,5,f,a
Aipysurus,laevis,AUST MUSEUM,R.45042,915,155,36,51.3,34.6,50,6.1,f,a
Aipysurus,laevis,AUST MUSEUM,R.7118,920,115,40,42.5,29.3,25,5.1,f,a
Aipysurus,laevis,AUST MUSEUM,R.6804,930,140,39,47.3,34.8,55,5.5,f,a
Aipysurus,laevis,AUST MUSEUM,R.44523,970,150,39,56.7,42.5,60,6.3,f,a
Aipysurus,laevis,AUST MUSEUM,R.44644,970,155,41,57.3,35.6,43,5.6,f,a
Aipysurus,laevis,AUST MUSEUM,R.44904,980,122,33,54,39.5,40,5.3,f,a
Aipysurus,laevis,AUST MUSEUM,R.11327,1020,145,40,55.6,44.3,50,6.1,f,a
Aipysurus,laevis,AUST MUSEUM,R.8642,1020,165,49,50,35,52,6,f,a
Aipysurus,laevis,AUST MUSEUM,R.41525,1030,145,36,50,39.3,39,5,f,a
Aipysurus,laevis,AUST MUSEUM,R.45012,1035,172,31,55.6,34,50,6,f,a
Aipysurus,laevis,AUST MUSEUM,R.44572,1060,160,39,50.7,42.5,44,5.2,f,a
Aipysurus,laevis,AUST MUSEUM,R.19137,1070,160,40,0,0,60,,f,a
Aipysurus,laevis,AUST MUSEUM,R.15089,1170,130,48,64.3,46.4,60,5.3,f,a
Aipysurus,laevis,MAGNT,R03532,1217,174,47,57.7,47.4,68,6.3,f,a
Aipysurus,laevis,AUST MUSEUM,R.33247,1380,183,52,67.2,43,70,5.5,f,a
Aipysurus,laevis,AUST MUSEUM,R.21450,379,66,20,21.8,16.5,20,3.4,m,j
Aipysurus,laevis,AUST MUSEUM,R.44620,502,93,24,29.2,20.6,22,3.5,m,j
Aipysurus,laevis,AUST MUSEUM,R.44455,592,85,23,29.5,20.4,25,4.3,m,j
Aipysurus,laevis,AUST MUSEUM,R.44460,620,132,27,35.5,26.1,32,4.2,m,a
Aipysurus,laevis,AUST MUSEUM,R.44429,655,125,25,35.2,22.6,23,3.2,m,a
Aipysurus,laevis,AUST MUSEUM,R.44568,670,127,26,34.3,23.3,32,5.5,m,a
Aipysurus,laevis,AUST MUSEUM,R.44864,675,134,27,33.3,20.5,36,4.6,m,a
Aipysurus,laevis,AUST MUSEUM,R.44595,694,119,25,33.4,23.4,28,4.1,m,a
Aipysurus,laevis,AUST MUSEUM,R.42698,695,125,24,35,22.2,26,5.5,m,a
Aipysurus,laevis,AUST MUSEUM,R.42709,710,108,20,32.1,18.5,24,3.6,m,a
Aipysurus,laevis,AUST MUSEUM,R.126232,710,132,30,33.9,18.7,25,3.8,m,a
Aipysurus,laevis,AUST MUSEUM,R.44866,730,108,25,33.6,23.5,32,4,m,a
Aipysurus,laevis,AUST MUSEUM,R.44868,740,118,22,33.4,24.8,30,3.9,m,a
Aipysurus,laevis,AUST MUSEUM,R.44633,740,140,26,38.5,25.7,36,4,m,a
Aipysurus,laevis,AUST MUSEUM,R.44571,740,145,29,38.2,23.6,29,5,m,a
Aipysurus,laevis,MAGNT,R17385,747,146,37,41,34.8,44,5.1,m,a
Aipysurus,laevis,AUST MUSEUM,R.44442,750,125,27,35.5,33.4,35,4.8,m,a
Aipysurus,laevis,AUST MUSEUM,R.42703,770,126,27,35.1,25.5,35,4.4,m,a
Aipysurus,laevis,AUST MUSEUM,R.44629,775,120,24,38.8,24.2,30,4.4,m,a
Aipysurus,laevis,AUST MUSEUM,R.142925,785,141,33,44.4,28.2,40,5.9,m,a
Aipysurus,laevis,AUST MUSEUM,R.42038,785,145,37,44.9,31.2,50,6,m,a
Aipysurus,laevis,AUST MUSEUM,R.41051,790,155,35,39.6,27.2,36,5.2,m,a
Aipysurus,laevis,AUST MUSEUM,R.44587,805,129,25,32.6,23.5,30,4.3,m,a
Aipysurus,laevis,MAGNT,R21270,830,137,0,38,23.2,32.9,4.3,m,a
Aipysurus,laevis,MAGNT,R37122,900,152,0,42.6,28.3,34.6,4.6,m,a
Aipysurus,laevis,MAGNT,R37116,900,155,0,44.2,29.1,31.5,4.7,m,a
Aipysurus,laevis,MAGNT,R36651,907,158,37,43.5,26.7,39,4.2,m,a
Aipysurus,laevis,AUST MUSEUM,R.8643,910,175,42,51.7,32.1,45,5.9,m,a
Aipysurus,laevis,AUST MUSEUM,R.44584,915,133,26,38.5,21.7,28,5.2,m,a
Aipysurus,laevis,AUST MUSEUM,R.41532,546,82,21,26.5,17.5,23,4,f,j
Aipysurus,laevis,AUST MUSEUM,R.41523,720,130,32,42.5,29.8,38,5.2,f,a
Aipysurus,laevis,AUST MUSEUM,R.41527,740,110,27,41.7,32.3,33,4.9,f,j
Aipysurus,laevis,AUST MUSEUM,R.41529,745,116,30,38.3,28.3,35,5.3,f,j
Aipysurus,laevis,AUST MUSEUM,R.119396,890,0,39,49,39.2,55,5.2,f,a
Aipysurus,laevis,AUST MUSEUM,R.41528,920,145,35,42.5,36.4,45,6.7,f,a
Aipysurus,laevis,AUST MUSEUM,R.119395,650,131,23,37.5,23.7,35,5.5,m,a
Aipysurus,laevis,AUST MUSEUM,R.41539,680,144,26,36.5,20.8,38,4.8,m,a
Aipysurus,laevis,AUST MUSEUM,R.41507,780,130,30,33.3,23.9,33,4.2,m,a
Aipysurus,laevis,AUST MUSEUM,R.41524,845,134,29,38.5,25.7,31,4.6,m,a
Aipysurus,laevis,AUST MUSEUM,R.174285,1060,172,44,62.5,45.5,65,6,f,a
Aipysurus,laevis,AUST MUSEUM,R.174281,1110,176,44,62.5,41,52,7,f,a
Aipysurus,laevis,AUST MUSEUM,R.174286,1135,0,40,59.5,46.7,50,6.1,f,a
Aipysurus,laevis,AUST MUSEUM,R.53772,710,120,25,29.3,22.7,28,3.9,f,j
Aipysurus,laevis,MAGNT,R26519,820,132,0,46,32.4,34,4.6,f,a
Aipysurus,laevis,AUST MUSEUM,R.174283,920,135,29,57.7,40,55,5.2,f,a
Aipysurus,laevis,AUST MUSEUM,R.174282,930,157,37,56.2,36.1,50,5.1,f,a
Aipysurus,laevis,AUST MUSEUM,R.104813,950,160,37,55.5,40,50,5.3,f,a
Aipysurus,laevis,AUST MUSEUM,R.174284,1165,170,40,67.2,54.2,65,6,f,a
Aipysurus,laevis,AUST MUSEUM,R.104814,860,171,35,45.4,31.8,55,5.5,m,a
Aipysurus,laevis,AUST MUSEUM,R.104812,990,173,34,44.5,29.2,50,5.2,m,a
Aipysurus,laevis,AUST MUSEUM,R.140934,795,0,38,39.6,32.6,50,4.8,f,j
Aipysurus,laevis,AUST MUSEUM,R.104808,755,155,35,39.5,32.5,45,4,m,a
Aipysurus,laevis,MAGNT,R21253,334,54,12,20.7,14.8,15,3.1,f,j
